nom,latitude,longitude,source,feature_type
(CNRA) Camp pépinière,5.6549993,-6.6815997,osm,hamlet
(CNRA) Camp éléphant,5.6620359,-6.711474,osm,village
15e Arrondissement,5.4326879,-4.0131435,osm,bus_stop
15e Arrondissement Abobo,5.4326467,-4.0133894,osm,bus_stop
15e Arrondissement Abobo,5.4327296,-4.013843,osm,bus_stop
16e Arrondissement,5.3388868,-4.0732871,osm,bus_stop
16ème,5.338335,-4.0733823,osm,bus_stop
19 ème,5.3273658,-4.0505741,osm,bus_stop
19 ème,5.3272816,-4.0503362,osm,bus_stop
198 Lgts,5.3529759,-4.0044479,osm,bus_stop
1er Arrêt,5.3931802,-3.923159,osm,bus_stop
1er Arrêt,5.3667069,-4.0904586,osm,bus_stop
1er Arrêt 81-82,5.4038607,-3.9856156,osm,bus_stop
1er Arrêt Adjoufou,5.2444775,-3.9298091,osm,bus_stop
1er Arrêt Adjoufou,5.2445576,-3.9302449,osm,bus_stop
1er Arrêt Cité Fairmont,5.3580761,-4.0361727,osm,bus_stop
1er Arrêt des Gbaka,7.6695552,-5.0443106,osm,bus_stop
1er Campement,5.3409284,-4.1665462,osm,bus_stop
1er Carrefour,5.3744804,-4.07779,osm,bus_stop
1er Carrefour,5.4149947,-4.0315439,osm,bus_stop
1er Carrefour,5.3942252,-3.9875597,osm,bus_stop
1er Escalier,5.2985311,-3.979627,osm,bus_stop
1er Kiosque,5.3398049,-4.170659,osm,bus_stop
1er Lavage,5.3873691,-3.8927852,osm,bus_stop
1er Pont,5.3609066,-4.0672085,osm,bus_stop
1er Pont,5.3603942,-4.0669081,osm,bus_stop
1er Pont,5.3593995,-4.0656745,osm,bus_stop
1er Pont,5.3582975,-4.0662497,osm,bus_stop
1er Sinois,5.3105874,-4.0742835,osm,bus_stop
1er Terrain,5.3527389,-4.0456362,osm,bus_stop
1er Terrain,5.352845,-4.0454954,osm,bus_stop
1er étage,5.3573348,-3.940393,osm,bus_stop
1ere Boutique,5.3798947,-4.0936893,osm,bus_stop
1ère Barrière,5.367769,-3.9797377,osm,bus_stop
1ère Boutique,5.407352,-4.0063787,osm,bus_stop
1ère Boutique,5.4150452,-4.0319409,osm,bus_stop
1ère Entrée Sogefia,5.297599,-3.9526269,osm,bus_stop
1ère Entrée Sogefia,5.2975523,-3.9523798,osm,bus_stop
1ère barrière Programme 4,5.3788884,-3.9588654,osm,bus_stop
2 Conteneurs,5.348872,-3.8624588,osm,bus_stop
2 Plateaux Mobil,5.369372,-3.9983663,osm,bus_stop
2 Plateaux Mobil,5.3682514,-3.998322,osm,bus_stop
2 Plateaux Vallon,5.3618046,-3.9899864,osm,bus_stop
2 Poteaux,5.382688,-4.0931924,osm,bus_stop
2 Poteaux,5.3256219,-3.8752636,osm,bus_stop
2 panneaux,5.3460996,-3.8355428,osm,bus_stop
2 poteaux,5.3384154,-3.9427407,osm,bus_stop
2 poteaux,5.3437619,-4.0700376,osm,bus_stop
21e Arrondissement,5.4195301,-4.0238687,osm,bus_stop
21ème Arrondissement,5.4200997,-4.0240081,osm,bus_stop
220 Lgts Adjamé,5.3517401,-4.0171176,osm,bus_stop
220 Logements,6.814054,-5.2599297,osm,suburb
220 logements,5.3472669,-4.017115,osm,bus_stop
220 logements,5.35162,-4.0177667,osm,neighbourhood
22e Arrondissement,5.3982668,-3.9911894,osm,bus_stop
22ème,5.3984871,-3.9917627,osm,bus_stop
22ème,5.3985752,-3.9913456,osm,bus_stop
2e Arrondissement Treichville,5.3050322,-4.0149258,osm,bus_stop
2e Arrêt Adjoufou,5.2437257,-3.9251146,osm,bus_stop
2e Boutique,5.429472,-4.0094219,osm,bus_stop
2e Boutique,5.4295221,-4.0092881,osm,bus_stop
2e Ecole,5.3468046,-3.8428923,osm,bus_stop
2e Entrée Sogefia,5.2984944,-3.9482868,osm,bus_stop
2e Escalier,5.299566,-3.9777261,osm,bus_stop
2eme Arrêt,5.4174305,-4.0167679,osm,bus_stop
2eme Arrêt,5.4164556,-4.0166465,osm,bus_stop
2eme Boutique,5.3786784,-4.0941896,osm,bus_stop
2eme Pont,5.3544833,-4.0014074,osm,bus_stop
2eme Terrain,5.3518096,-4.0456027,osm,bus_stop
2ème,5.3443912,-4.1074932,osm,bus_stop
2ème,5.3442292,-4.1077065,osm,bus_stop
2ème,5.3662815,-4.0942267,osm,bus_stop
2ème Arrêt des Gbaka,7.6695072,-5.0469291,osm,bus_stop
2ème Barrière,5.3682297,-3.9798389,osm,bus_stop
2ème Feu Agban,5.3593637,-4.0168521,osm,bus_stop
2ème Lavage,5.3910515,-3.8937199,osm,bus_stop
2ème Lavage,5.3909895,-3.8934621,osm,bus_stop
2ème Porte,5.4323105,-4.0686364,osm,bus_stop
2ème Sinois,5.31006,-4.0737364,osm,bus_stop
2ème barrière Programme 4,5.380784,-3.9578435,osm,bus_stop
2ème rond-point,5.3458036,-3.9505396,osm,bus_stop
3 Caféiers,5.3556644,-4.0660062,osm,bus_stop
3 Cocotiers,5.3473084,-4.055315,osm,bus_stop
3 Cocotiers,5.3473338,-4.0555644,osm,bus_stop
3 Feux,5.3664704,-4.0999027,osm,bus_stop
3 poulets,5.3803701,-4.097997,osm,bus_stop
30eme arrondissement,5.37367,-3.9846146,nominatim,
33e Arrondissement,5.2470403,-3.9445075,osm,bus_stop
34e Arrondissement,5.4195245,-3.9907375,osm,bus_stop
34eme,5.4202157,-3.9906637,osm,bus_stop
37 ème Arrondissement,5.3105305,-4.0439883,osm,bus_stop
3e Arrêt Adjoufou,5.243186,-3.9216458,osm,bus_stop
3ème Arrêt des Gbaka,7.6694748,-5.0491805,osm,bus_stop
3ème Barrière,5.3687452,-3.9799573,osm,bus_stop
3ème Cocotier,5.3163588,-4.0775169,osm,bus_stop
4 Etages,5.4386075,-4.0078209,osm,bus_stop
4 Etages,5.4387251,-4.008631,osm,bus_stop
42,5.3185746,-4.0779347,osm,bus_stop
43e BIMA,5.2576733,-3.9577992,osm,bus_stop
43e BIMA,5.2573475,-3.9579213,osm,bus_stop
43ème Bima,5.2565175,-3.9573392,osm,bus_stop
43ème Bima,5.255789,-3.9573017,osm,bus_stop
4e Arrêt des Gbaka,7.6694765,-5.051544,osm,bus_stop
4ème Arrêt des Gbaka,7.6694826,-5.0491869,osm,bus_stop
4ème Barrière,5.3691603,-3.9803693,osm,bus_stop
5 kilos,5.4238463,-5.5115349,osm,hamlet
5 étoiles,5.336739,-4.0623618,osm,bus_stop
55 Panneau,5.3732801,-3.9264482,osm,bus_stop
55 Panneau,5.373634,-3.9258716,osm,bus_stop
5ème Arrêt des Gbaka,7.6694671,-5.0529386,osm,bus_stop
6 kilos,4.9762261,-6.1224249,osm,village
60 Lgts Plateau,5.3251503,-4.0200779,osm,bus_stop
6e Arrondissement Koumassi,5.2898815,-3.9694045,osm,bus_stop
6e Arrondissement Koumassi,5.2892455,-3.9693475,osm,bus_stop
6ème Arrêt des Gbaka,7.6694455,-5.0557593,osm,bus_stop
7ème Arrêt des Gbaka,7.669437,-5.0574297,osm,bus_stop
7ᵉ tranche,5.3926164,-3.989153,osm,suburb
8ᵉ tranche,5.3973162,-3.9777804,osm,suburb
9 Kilo,5.3577164,-3.9644733,osm,bus_stop
9 Kilo,5.3573796,-3.964374,osm,bus_stop
9 Kilo,5.3575191,-3.9652303,osm,bus_stop
9 Kilo - Supermarché CDCI,5.3578447,-3.9651288,osm,bus_stop
9ᵉ tranche,5.387683,-3.9767357,osm,suburb
A Gauche,5.423623,-4.0021714,osm,bus_stop
A l'Antenne,5.2528803,-3.8882348,osm,bus_stop
A l'Arrêt,5.4242953,-4.0192654,osm,bus_stop
A l'Arrêt,5.4177531,-4.0168384,osm,bus_stop
A l'Arrêt,5.3405105,-4.0513775,osm,bus_stop
A l'Arrêt,5.3404638,-4.0515693,osm,bus_stop
A l'Arrêt,5.326548,-4.0369546,osm,bus_stop
A l'Ecole,5.4241497,-4.0128817,osm,bus_stop
A l'Eglise,5.3259611,-4.0599605,osm,bus_stop
A l'Eglise,5.3377422,-4.1386066,osm,bus_stop
A l'antenne,5.3550115,-4.0954489,osm,bus_stop
A l'antenne,5.3859084,-3.9288086,osm,bus_stop
A l'arrêt,5.3514313,-4.0021898,osm,bus_stop
A l'entenne,5.3807559,-4.0986601,osm,bus_stop
A l'escalier,5.4383375,-4.0383548,osm,bus_stop
A l'etage,5.3466995,-3.9439496,osm,bus_stop
A l'immeuble,5.3954626,-3.8946238,osm,bus_stop
A l'école,5.395146,-4.0061875,osm,bus_stop
A l'école,5.3805209,-4.1022885,osm,bus_stop
A l'école,5.3803641,-4.1025124,osm,bus_stop
A l'école,5.4754893,-4.0553138,osm,bus_stop
A l'étage,5.446249,-4.0143571,osm,bus_stop
A la Boulangerie,5.4181543,-3.9732239,osm,bus_stop
A la Boutique,5.429406,-4.010827,osm,bus_stop
A la Boutique,5.4295104,-4.0106744,osm,bus_stop
A la Mosquée,5.3510311,-3.9809205,osm,bus_stop
A la Mosquée,5.4146581,-4.0264243,osm,bus_stop
A la Poubelle,5.3519584,-4.032592,osm,bus_stop
A la Ran,5.4141174,-4.0217646,osm,bus_stop
A la Station,5.3105408,-4.0111688,osm,bus_stop
A la Terrasse,5.3897789,-3.9241749,osm,bus_stop
A la boutique,5.3797839,-4.0934989,osm,bus_stop
A la ferme,5.3480931,-3.855852,osm,bus_stop
A la foire,5.333327,-3.9373995,osm,bus_stop
A la sortie,5.3659364,-4.0918989,osm,bus_stop
AB Center,5.358136,-3.9254813,osm,bus_stop
ABO,5.46779,-3.20711,geonames,PPLA2
ADK,6.583392,-5.5588635,osm,village
ADK,6.1970342,-7.096861,osm,village
ADK (Complexe,6.19492,-7.09572,geonames,PPL
ADKF Transport Abidjan-M'Bahiakro,7.455068,-4.3375471,osm,bus_station
AGEPE Abobo,5.4256863,-4.0120858,osm,bus_stop
AGEPE Abobo,5.425486,-4.0120026,osm,bus_stop
AIMAS,5.3777234,-3.9875915,osm,bus_stop
AIP,5.3242651,-4.0159489,osm,bus_stop
AIST,5.3681012,-3.9698514,osm,bus_stop
AKAKRO,6.0439759,-5.0957595,osm,village
ANADER,5.4126296,-4.0064093,osm,bus_stop
ANADER Abobo,5.4121402,-4.0062842,osm,bus_stop
ANADER Abobo,5.414173,-4.006252,osm,bus_stop
ANP(Aitorité Nationale de la Presse),5.3913479,-3.9867027,osm,bus_stop
ANTONIO,6.0903145,-6.0086843,osm,village
ART Luxury Bus,5.3461762,-4.0631013,osm,bus_station
ART Luxury Bus,5.3481998,-4.0175736,osm,bus_station
ART Luxury Bus,7.6814022,-5.0276048,osm,bus_station
ASDKT,7.455068,-4.3375471,osm,bus_station
ASK,6.82055,-5.27674,geonames,PPLC
ATCI,5.3667351,-3.9376838,osm,bus_stop
ATCI 1er portail,5.364927,-3.937102,osm,bus_stop
ATK Akpoue Transport Mouadioblekro,5.7885145,-6.6110987,osm,bus_station
ATRANS Transport,4.7763466,-6.6471517,osm,bus_station
AVS,6.7473898,-7.3499423,osm,bus_station
AVS,6.5457698,-7.4862546,osm,bus_station
AVS,6.8915577,-6.4392744,osm,bus_station
AVS Transport,6.8076835,-5.2591372,osm,bus_station
AVS Transport Nimbo,7.6708271,-5.0280707,osm,bus_station
Aalé,7.36528,-5.73444,geonames,PPL
Abadji Doume,5.30962,-4.14669,geonames,PPL
Abadji Koute,5.33017,-4.15226,geonames,PPL
Abadjin-Bimbresso,5.3193265,-4.1547255,osm,village
Abadjin-Doumé,5.30962,-4.14669,geonames,PPL
Abadjin-Kouté,5.33017,-4.15226,geonames,PPL
Abadou,5.67653,-4.04609,geonames,PPL
Abakakoua,5.48026,-3.86739,geonames,PPL
Abakro,6.69094,-5.24926,geonames,PPL
Abakro,5.41425,-3.22976,geonames,PPL
Abakro,6.677648,-5.2423236,osm,hamlet
Aban,5.31062,-3.85563,geonames,PPL
Abaoji-Doume,5.30962,-4.14669,geonames,PPL
Abaoua,6.35947,-3.85903,geonames,PPL
Abass Transport,6.8093161,-5.2622316,osm,bus_station
Abass Transport,5.4411745,-4.0421923,osm,bus_stop
Abata,5.3233,-3.91434,geonames,PPL
Abata,5.3267685,-3.9140578,osm,hamlet
Abatie,5.38075,-4.32072,geonames,PPL
Abatoulilié,5.99533,-5.60615,geonames,PPL
Abatoulilié,5.9895854,-5.6025331,osm,village
Abatta,5.3267685,-3.9140578,osm,hamlet
Abatta BCEAO,5.3448722,-3.9160259,osm,neighbourhood
Abatta Cité Police,5.3583471,-3.9227871,osm,neighbourhood
Abatta Sicta,5.3378374,-3.924121,osm,neighbourhood
Abattoir,5.2596992,-3.9689078,osm,bus_stop
Abattoir,5.2590856,-3.969733,osm,bus_stop
Abattoir,6.8670516,-6.4410577,osm,quarter
Abayansi,7.59052,-5.56844,geonames,PPL
Abayansi,7.5919836,-5.5713263,osm,village
Abayanzi,8.02994,-5.45336,geonames,PPL
Abayanzi,8.0289799,-5.4460055,osm,hamlet
Abbatoir,5.4505412,-3.9752296,osm,bus_stop
Abbe,5.66047,-3.98753,geonames,PPL
Abbe,7.1955823,-5.3063753,osm,village
Abbie,5.86647,-3.92574,geonames,PPL
Abbo-Kénégny,7.16098,-4.16307,geonames,PPL
Abbo-Kénégny,7.161086,-4.1645856,osm,village
Abbè Achi,5.43006,-4.15905,geonames,PPL
Abbè-Bégnini,5.6355232,-4.0009625,osm,village
Abbé-Broukoi,5.4470381,-4.0627018,osm,quarter
Abdoulaye,5.91645,-4.12063,geonames,PPL
Abdoulayékro,5.53559,-3.5594,geonames,PPL
Abe,7.34226,-3.57435,geonames,PPL
Abe Aounyassou,7.84192,-5.35345,geonames,PPL
Abe Katemenso,7.34226,-3.57435,geonames,PPL
Abegue,5.79951,-4.14562,geonames,PPL
Abeille beton,5.3594178,-4.0450294,osm,bus_stop
Abekofikro,7.82973,-5.22124,geonames,PPL
Abema,8.0971112,-2.7739121,osm,hamlet
Abenan,5.50251,-4.04412,geonames,PPL
Abengoua,6.24709,-3.54335,geonames,PPL
Abengourou,7.93874,-5.31791,geonames,PPL
Abengourou,7.28333,-2.98333,geonames,PPL
Abengourou,7.18333,-3.98333,geonames,PPL
Abengourou,6.72972,-3.49639,geonames,PPLA
Abengourou,6.7269042,-3.4968431,osm,city
Abenguru,6.72972,-3.49639,geonames,PPLA
Abenguru,6.7269042,-3.4968431,osm,city
Abessé,5.47686,-4.09197,geonames,PPL
Abey-Ahougnassou,7.8449915,-5.3553419,osm,village
Abey-Kouadiokro,7.8444424,-5.355733,osm,hamlet
Abi,5.30502,-3.16916,geonames,PPL
Abi,5.48106,-3.91068,geonames,PPL
Abi,7.0683614,-3.6127722,osm,village
Abia-Abety,5.274494,-3.9808788,osm,village
Abiadi,5.67065,-3.4836,geonames,PPL
Abiadougou,5.95417,-5.29139,geonames,PPL
Abiadougou,5.9498755,-5.292492,osm,hamlet
Abiate,5.38075,-4.32072,geonames,PPL
Abiati,5.67065,-3.4836,geonames,PPL
Abiati,5.28984,-3.17069,geonames,PPL
Abiati,5.6895042,-3.484955,osm,hamlet
Abiatrana,5.2710699,-4.0740185,osm,neighbourhood
Abiaty,5.289836,-3.170688,osm,village
Abiaté 2,5.383692,-4.2902738,osm,village
Abiaté I,5.38075,-4.32072,geonames,PPL
Abiaté II,5.40773,-4.29323,geonames,PPL
Abican,5.35444,-4.00167,geonames,PPLA
Abici Elliam,5.53197,-4.04188,geonames,PPL
Abidjan,5.35444,-4.00167,geonames,PPLA
Abidjan,5.320357,-4.016107,osm,city
Abidjan Mail,5.362195,-3.9660108,osm,bus_stop
Abidjan Mall,5.3623313,-3.966153,osm,bus_stop
Abidji,7.5915,-5.00956,geonames,PPL
Abidji,7.5912712,-5.0106132,osm,hamlet
Abidzan,5.35444,-4.00167,geonames,PPLA
Abidzana,5.35444,-4.00167,geonames,PPLA
Abidzanas,5.35444,-4.00167,geonames,PPLA
Abidzans,5.35444,-4.00167,geonames,PPLA
Abidzhan,5.35444,-4.00167,geonames,PPLA
Abidzhan shaary,5.35444,-4.00167,geonames,PPLA
Abiekro,7.79953,-5.19611,geonames,PPL
Abiengorou,7.2811868,-2.9863931,osm,village
Abigano,5.35444,-4.00167,geonames,PPLA
Abigou,6.95,-5.01667,geonames,PPL
Abigou,6.94211,-5.01509,geonames,PPL
Abigui,6.69462,-4.83379,geonames,PPL
Abigui,6.9425624,-5.0158241,osm,hamlet
Abiguy,6.94211,-5.01509,geonames,PPL
Abiguy,6.9425624,-5.0158241,osm,hamlet
Abijan,5.35444,-4.00167,geonames,PPLA
Abikoffikro,7.31714,-5.50473,geonames,PPL
Abikofikro,7.31714,-5.50473,geonames,PPL
Abikro,7.80978,-5.44213,geonames,PPL
Abinba,8.11955,-2.76168,geonames,PPL
Abinba,8.1025096,-2.7709263,osm,hamlet
Abinibro,7.31666,-4.87334,geonames,PPL
Abiolékro,5.17048,-3.15552,geonames,PPL
Abisso,5.46779,-3.20711,geonames,PPLA2
Abisso,5.4674904,-3.2066162,osm,town
Abiyan,5.35444,-4.00167,geonames,PPLA
Abizhan khot,5.35444,-4.00167,geonames,PPLA
Abié,5.86647,-3.92574,geonames,PPL
Abié,5.8625425,-3.9292151,osm,village
Abié Ayalo,5.916858,-3.938519,osm,village
Abiéhou,5.55396,-4.53085,geonames,PPL
Ablavé,5.9105208,-4.744701,osm,village
Abli Aloukro,6.59422,-4.99499,geonames,PPL
Abli Aloukro,6.5909203,-5.0103508,osm,village
Abli Bonikro,6.59658,-4.99402,geonames,PPL
Abli Bonikro,6.5947318,-5.0063466,osm,village
Ablouikro,7.31666,-4.87334,geonames,PPL
Ablékro,7.50857,-5.06844,geonames,PPL
Abo Blakro,7.09288,-4.98319,geonames,PPL
Abo Blakro,7.0914994,-4.9800319,osm,village
Abo Kouadjokro,7.21805,-4.81034,geonames,PPL
Abo Kouadjokro,7.2199717,-4.8093206,osm,village
Abo Kouassikro,7.16919,-4.70446,geonames,PPL
Abo Kouassikro,7.1695834,-4.706079,osm,village
Abo-N'Guessankro,6.94525,-4.70141,geonames,PPL
Abo-N'Guessankro,6.9454623,-4.7021105,osm,village
Aboblakro,7.0914994,-4.9800319,osm,village
Abobo,5.41613,-4.0159,geonames,PPL
Abobo,5.4263155,-4.0202247,osm,suburb
Abobo Adjame,5.3852433,-4.02095,osm,neighbourhood
Abobo Baoulé,5.41445,-3.99036,geonames,PPL
Abobo Baoulé,5.4342942,-3.9960208,osm,neighbourhood
Abobo Baoulé,5.4155083,-3.9927819,osm,bus_stop
Abobo Baoulé,5.4149921,-3.9940399,osm,bus_stop
Abobo CIE,5.4227497,-4.0160856,osm,bus_stop
Abobo Doumé,5.30809,-4.03958,geonames,PPL
Abobo Doumé,5.3152057,-4.0359781,osm,village
Abobo Doumé Bateau-bus,5.3113566,-4.0359709,osm,bus_stop
Abobo Doumé village,5.3091252,-4.0401149,osm,neighbourhood
Abobo Gare,5.4217034,-4.018191,osm,bus_stop
Abobo Gare,5.4211603,-4.0182616,osm,bus_stop
Abobo Gare Mairie,5.4200067,-4.0174383,osm,bus_stop
Abobo Gare Mairie,5.4215493,-4.0171184,osm,bus_stop
Abobo Gare Mairie,5.4197843,-4.0157753,osm,bus_stop
Abobo Gare Mairie,5.4197117,-4.0175159,osm,bus_stop
Abobo Gare Mairie,5.4213115,-4.0153718,osm,bus_stop
Abobo Gare Mairie,5.4209025,-4.0190016,osm,bus_stop
Abobo Gare Mairie,5.4191189,-4.017296,osm,bus_stop
Abobo Gendarmerie,5.4263194,-4.0203724,osm,bus_stop
Abobo Gendarmerie,5.4267852,-4.0201529,osm,bus_stop
Abobo Gendarmerie,5.4269493,-4.0211993,osm,bus_stop
Abobo Gendarmerie,5.4241696,-4.0192406,osm,bus_stop
Abobo Gendarmerie,5.4277708,-4.0201936,osm,bus_stop
Abobo Gendarmerie,5.4257984,-4.0210823,osm,bus_stop
Abobo Gendarmerie,5.4254904,-4.0196841,osm,bus_stop
Abobo Mairie,5.4197512,-4.0156192,osm,bus_stop
Abobo Marché,5.4239373,-4.0152481,osm,bus_stop
Abobo Marché,5.4261747,-4.0146574,osm,bus_stop
Abobo Nord,5.4099846,-4.0001836,osm,locality
Abobo RTI,5.4190261,-4.0218067,osm,locality
Abobo Sud,5.4002861,-4.0177789,osm,locality
Abobo Té,5.40569,-3.99682,geonames,PPL
Abobo-Abaoure,5.41445,-3.99036,geonames,PPL
Abobo-Atte,5.40569,-3.99682,geonames,PPL
